,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
1014,"Inner Mission & Castro PUMA, CA",96420.97313425514,Surgeons,572399.8156682028,282720.32402206364,4.923224255304318
120,"Battery Park City, Greenwich Village & Soho PUMA, NY",94839.24675020618,Dentists,668644.0,127707.80053807772,4.667195859252465
375,"Chelsea, Clinton & Midtown Business District PUMA, NY",91590.64899806688,Other financial specialists,668644.0264900662,98080.72862112064,4.68748681349707
512,"Cupertino, Saratoga Cities & Los Gatos Town PUMA, CA",85380.08458382454,Industrial production managers,572399.8032786886,77305.98243070339,4.642591309829717
683,"Essex County (Northwest) PUMA, NJ",84129.6441042232,Insurance sales agents,645342.8387096775,53854.68649385349,4.743560063987254
2207,"Upper East Side PUMA, NY",83596.41584432815,Dentists,668644.0,127707.80053807772,4.750911548156507
1911,"San Mateo (North), Burlingame & Millbrae Cities PUMA, CA",82797.71345682516,"Models, demonstrators, & product promoters",572399.8,12089.157200194966,4.807895735249953
2088,"Stamford & Greenwich Towns PUMA, CT",82281.4443704398,Surgeons,727403.649122807,282720.32402206364,4.8949264176478025
1501,"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, MA",82112.13386872223,Other financial specialists,628120.1403508772,98080.72862112064,4.647799717665198
1449,"Murray Hill, Gramercy & Stuyvesant Town PUMA, NY",81814.06033443112,Personal financial advisors,543641.5418326693,110943.36940078795,4.636057281626091
2109,"Summit City & Westfield Town (North) PUMA, NJ",81615.63214579703,Surgeons,645342.8461538461,282720.32402206364,4.738978355084874
1343,"Menlo Park, East Palo Alto Cities & Atherton Town PUMA, CA",81601.58488491713,"Miscellaneous social scientists, including survey researchers & sociologists",572399.8064516129,47658.99585933047,4.670152549626709
2146,"Tenafly, Park Ridge & Cresskill Boroughs PUMA, NJ",81314.84959154473,Supervisors of transportation & material moving workers,645342.8148148148,46180.44061832814,4.664932544976092
2307,"Westchester County (Southeast) PUMA, NY",80710.40334463799,"Purchasing agents, except wholesale, retail, & farm products",668644.0,52067.00708327911,4.715101737570224
1784,"Rancho Santa Margarita City (East) & Ladera Ranch PUMA, CA",80663.2765740853,Firstline supervisors of housekeeping & janitorial workers,572399.8356164383,30437.467101766862,4.771681019571628
2208,"Upper West Side & West Side PUMA, NY",80080.9983558852,Technical writers,668644.0,56772.363575088,4.607816542743853
1987,"Somerset County (North & West) PUMA, NJ",80061.5730840267,Network and computer systems administrators,645342.8235294118,70080.64245976007,4.800786006397867
2305,"Westchester County (Northeast) PUMA, NY",80053.90482329747,Insurance underwriters,668644.0347826087,65638.00450135449,4.789399064982355
1914,"San Ramon City & Danville Town PUMA, CA",79943.66277976746,Other financial specialists,410953.7230769231,98080.72862112064,4.74532349246255
2232,"Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA, CA",79562.41832709611,Computer hardware engineers,572399.8214285715,91131.80557198216,4.68334627414002
278,"Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA, CA",77865.3137590791,"Business operations specialists, all other",572399.8315789474,60104.46884870296,4.412543551381905
1443,"Mountain View, Palo Alto & Los Altos Cities PUMA, CA",77753.32438751844,Compensation & benefits managers,572399.8214285715,78976.88495217955,4.862903615513564
684,"Essex County (Southwest) PUMA, NJ",77648.29324276751,Database administrators and architects,395107.8571428572,79421.41349617914,4.679875311459249
1816,"Ridgewood Village, Glen Rock & Westwood Boroughs PUMA, NJ",76925.56756679791,"Farmers, ranchers, & other agricultural managers",645342.8059701492,20768.158865386376,4.7516498298611705
163,"Bethesda, Potomac & North Bethesda PUMA, MD",76245.88779992929,Natural sciences managers,430404.731884058,87041.6083510504,5.101869372738511
1328,"McLean & Idylwood PUMA, VA",75381.8200066657,Fundraisers,506548.5,52283.03605469805,4.771986597098425
67,"Ashburn (Southwest/Belmont Ridge) & Dulles Airport PUMA, VA",75356.62902944355,Other financial specialists,506548.5,98080.72862112064,4.921851739764552
1800,"Redwood City, San Carlos & Belmont Cities PUMA, CA",75298.36841625738,Social & human service assistants,572399.8153846153,30698.30014742825,5.029582564217348
1438,"Morristown Town, Madison & Florham Park Boroughs PUMA, NJ",75094.22230045332,Social & community service managers,645342.7951807228,53910.81155826022,4.731350884752728
1799,"Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA, CA",75005.43374456496,Optometrists,572399.802955665,91038.6455644665,5.031314807252143
1587,"Olney, Damascus, Clarksburg & Darnestown PUMA, MD",74296.12908940659,Lodging managers,508574.701754386,44643.67056716537,4.985108140061505
1511,"North Hempstead Town (North) PUMA, NY",74006.63664057566,Economists,668644.0,114682.51872642573,4.793476191859888
2010,"South of I-10 & Inside Loop I-610 PUMA, TX",73466.21680135235,Nurse anesthetists,474129.4117647059,137847.88905761446,5.0855914394146255
1542,"Northfield & New Trier Townships PUMA, IL",73089.08397737343,Cardiovascular technologists and technicians,550111.7108433734,76805.666221549,4.717739028332276
1913,"San Rafael (South), Mill Valley & Sausalito Cities PUMA, CA",72953.07222254369,Surgeons,572399.8275862068,282720.32402206364,4.816478176225325
62,"Arlington County (North) PUMA, VA",72639.42967169489,Credit counselors & loan officers,506548.4979253112,67871.33144378143,4.938408076326251
697,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA, CT",72551.26217137753,Financial analysts,483209.8983240224,99633.71762472302,4.754079864217201
241,"Brooklyn Heights & Fort Greene PUMA, NY",72447.81439558789,Actuaries,668644.0,131082.8818200338,4.975502854387341
1988,"Somerset County (South) PUMA, NJ",72381.27126410963,Surgeons,645342.8333333334,282720.32402206364,4.604186694184195
1512,"North Hempstead Town (South) PUMA, NY",72348.94943828655,Nuclear medicine technologists and medical dosimetrists,668644.0,132946.1370184876,4.831153623615564
1247,"Livermore, Pleasanton & Dublin Cities PUMA, CA",72040.8754198538,Surgeons,572399.8235294118,282720.32402206364,5.252082447541469
1644,"Palos Verdes Peninsula PUMA, CA",71935.46268368978,Other financial clerks,572399.8181818182,76459.69278730197,4.6831638033864325
1912,"San Mateo (South) & Half Moon Bay Cities PUMA, CA",71741.51203630533,Healthcare social workers,572399.8260869565,40489.77443785951,4.998904990007848
1486,"New Rochelle & Mount Vernon Cities PUMA, NY",71734.62892843327,Credit counselors & loan officers,668644.0,67871.33144378143,4.923855097775875
1781,"Ramsey, Oakland & Franklin Lakes Boroughs PUMA, NJ",71359.22151769914,Other financial specialists,645342.8148148148,98080.72862112064,4.823875447095229
1554,"Norwalk, Westport & Darien Towns PUMA, CT",71165.25610002218,Magnetic resonance imaging technologists,727403.6417910447,100650.60025262598,4.785153787792701
1635,"Oyster Bay Town (North) & Glen Cove City PUMA, NY",71060.09220329262,Advertising sales agents,668644.0,59021.9754631948,4.799579174702024
1982,"Smithtown Town PUMA, NY",70766.67441961475,Social & community service managers,668644.0,53910.81155826022,4.914950096996701
987,"Huntington Town (North) PUMA, NY",70718.50627183415,Purchasing managers,354583.9413919414,74013.09656763387,4.801834535030895
1563,"Oakland (East) & Piedmont Cities PUMA, CA",70636.6564366036,Industrial production managers,572399.8356164383,77305.98243070339,4.902672464520279
1813,"Richmond District PUMA, CA",70278.82802755553,Dietitians & nutritionists,572399.8333333334,39096.582625035946,4.942515349755733
1506,"North Beach & Chinatown PUMA, CA",70231.45445167212,Credit counselors & loan officers,572399.8235294118,67871.33144378143,4.734735052547799
1728,"Plymouth, Maple Grove (West) & Medicine Lake Cities PUMA, MN",70146.56110827973,Insurance claims & policy processing clerks,493378.25,35227.90167829536,4.546720185861424
2016,"South of Market & Potrero PUMA, CA",70107.49341534742,Chemists & materials scientists,572399.7908496732,71654.08234075189,4.810453245378206
770,"Fulton County (North)Sandy Springs City PUMA, GA",70003.40847871263,Lodging managers,477168.6917293233,44643.67056716537,4.7460683782887525
1650,"Park Slope, Carroll Gardens & Red Hook PUMA, NY",69738.51027857843,Financial analysts,401763.2189781022,99633.71762472302,4.866255744747556
89,"Austin City (Northwest) PUMA, TX",69482.55704354377,Architectural & engineering managers,474129.41843971633,134098.2588754237,4.79542789588323
2320,"White Plains City PUMA, NY",69475.64794262938,Surgeons,668644.0,282720.32402206364,5.004602227465784
2159,"Tinton Falls Borough (South) PUMA, NJ",69450.71115225399,Advertising & promotions managers,645342.8307692307,68524.37743676595,4.925511365075437
1870,"Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA, WA",69408.86731382417,Economists,527823.5443037974,114682.51872642573,4.850607038593172
1606,"Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA, NY",69383.19252296904,Musicians and singers,668644.0,16029.08324698749,4.672761881459852
1905,"San Jose City (Southwest/Almaden Valley) PUMA, CA",68823.65316616012,"Healthcare support workers, all other, including medical equipment preparers",325204.131147541,24128.41562454649,5.013709918072041
1376,"Middlesex County (Southwest) PUMA, NJ",68771.33354837456,"Securities, commodities, & financial services sales agents",386539.6170212766,116457.02855852002,4.829868811960173
2114,"Sunnyvale & San Jose (North) Cities PUMA, CA",68513.00602733273,Firstline supervisors of nonretail sales workers,368480.4362244898,70776.29211066732,4.871262746312977
365,"Charlotte City (South) PUMA, NC",68100.37494100026,Economists,418409.0693069307,114682.51872642573,4.929991774518477
457,"Columbia (West) & Ellicott City (Northwest) PUMA, MD",68088.41418316089,"Power plant operators, distributors, & dispatchers",508574.6842105263,77072.03539917499,5.04272629034026
254,"Bucks County (Central) PUMA, PA",67886.34556099286,"Securities, commodities, & financial services sales agents",492365.1666666667,116457.02855852002,4.851668444340051
1984,"Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA, WA",67803.0976545066,Flight attendants,527823.5833333334,41477.25663697701,4.835642258457812
580,"District of Columbia (West) PUMA, DC",67580.11672121586,Personal financial advisors,676748.8421052631,110943.36940078795,4.586288490243816
2306,"Westchester County (Northwest) PUMA, NY",67462.34897384037,Surgeons,668644.0,282720.32402206364,4.929223983502367
1903,"San Jose City (South Central/Branham) & Cambrian Park PUMA, CA",67448.23138687441,Personal financial advisors,572399.8113207547,110943.36940078795,4.8751637956470875
1132,"LA City (Central/Pacific Palisades) PUMA, CA",67319.43769034385,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",572399.8113207547,78440.25824818271,4.901971622188867
1178,"Lake View & Lincoln Park PUMA, IL",67219.48135548702,Other financial specialists,550111.7073170731,98080.72862112064,5.133422020671935
640,"Eden Prairie & Minnetonka Cities PUMA, MN",66903.10059281014,Other financial specialists,493378.2716049383,98080.72862112064,4.65879648897152
1436,"Morris County (West) PUMA, NJ",66888.60153150432,Floral designers,645342.8196721311,19378.37092044049,5.011393881862426
298,"Carmel City & Fishers Town (West) PUMA, IN",66846.36670590458,Surgeons,417395.973063973,282720.32402206364,4.851085250717426
1925,"Santa Monica City PUMA, CA",66770.88440924932,"Miscellaneous engineers, including nuclear engineers",572399.801980198,86422.79194750793,4.8075388155847945
1756,"Princeton Borough PUMA, NJ",66550.0719410763,"Wholesale & retail buyers, except farm products",645342.8282828283,34179.94080459817,4.817418780505752
2006,"South San Francisco, San Bruno & Brisbane Cities PUMA, CA",66544.36764493799,"Models, demonstrators, & product promoters",572399.8125,12089.157200194966,5.018683425093089
482,"Concord (South), Walnut Creek (East) & Clayton Cities PUMA, CA",66488.64956114731,Surgeons,572399.8333333334,282720.32402206364,4.769966506272798
2205,"Union City, Newark & Fremont (West) Cities PUMA, CA",66481.71023061586,Detectives & criminal investigators,572399.7966101695,69472.63203857554,5.203446385460585
802,"Gilroy, Morgan Hill & San Jose (South) Cities PUMA, CA",66270.20790528745,Physicians,572399.8309859155,206831.79290917717,4.820643012672473
830,"Greater Bellevue City PUMA, WA",66257.86602008663,Surgeons,527823.5681818182,282720.32402206364,4.777900380893542
1898,"San Jose (West Central) & Campbell Cities PUMA, CA",66220.63750629548,"Architects, except landscape and naval",358168.30409356725,77911.62260282584,4.939545145587443
63,"Arlington County (South) PUMA, VA",66173.72075223578,"Architects, except landscape and naval",287310.41025641025,77911.62260282584,4.9990862346709966
1373,"Middlesex (West Central) & Worcester (East) Counties PUMA, MA",66114.35058805492,Computer network architects,628120.1194029851,95432.99220300168,4.838481232684766
1705,"Phoenixville Borough PUMA, PA",66009.91743943751,Actuaries,492365.1743119266,131082.8818200338,4.767427833063179
755,"Freehold Borough PUMA, NJ",65903.39113428601,Compliance officers,645342.7894736842,68567.09218929497,4.933067620364046
1886,"San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA, CA",65891.80801282501,General & operations managers,304350.5915279879,78932.01272296738,5.088567006278517
719,"Flower Mound Town & Highland Village City PUMA, TX",65724.84687090042,Lodging managers,474129.4222222222,44643.67056716537,5.046875272256723
763,"Frisco City (East) & Prosper Town PUMA, TX",65605.58229175564,Private detectives & investigators,474129.4074074074,49400.32033046294,5.0276226946497315
1214,"Leesburg Town PUMA, VA",65382.31033121081,"Sales representatives, wholesale & manufacturing",364714.9158163265,67929.48572119647,5.0072600837770285
861,"Greenpoint & Williamsburg PUMA, NY",65343.02422741153,Financial analysts,434435.2484662577,99633.71762472302,4.9319049686702
1411,"Monmouth County (Central) PUMA, NJ",65330.160903941694,"Bookkeeping, accounting, & auditing clerks",645342.8,29528.559522344254,4.872312138668619
2220,"Vienna Town, Oakton & Fair Oaks (East) PUMA, VA",65233.12212291977,Other Sales Workers,353395.7407407408,46439.11797243441,4.931857352636704
2264,"Watertown Town City, Arlington, Belmont & Winchester Towns PUMA, MA",65230.63061925329,Financial analysts,478148.5573770492,99633.71762472302,5.035447161823717
1636,"Oyster Bay Town (South) PUMA, NY",64944.033634534426,Sales engineers,668644.0,108780.47602985433,4.904668691750991
1426,"Montgomery County (South)The Woodlands (North) PUMA, TX",64699.70880708167,Other designers,474129.4137931034,53254.28081265958,4.516326834726522
1904,"San Jose City (Southeast/Evergreen) PUMA, CA",64555.20107533249,Financial managers,363108.32835820894,92038.95558870002,4.939864253136248
488,"Coral Gables City, Pinecrest Village & Kendall (South) PUMA, FL",64553.07756803855,Cost estimators,482234.1846153846,58963.60741807346,4.729143126047776
771,"Fulton County (Northeast)Johns Creek City PUMA, GA",64511.74287164055,Nuclear medicine technologists and medical dosimetrists,477168.69696969696,132946.1370184876,4.746322762330779
1899,"San Jose City (Central) PUMA, CA",64359.5818599361,Compliance officers,572399.8297872341,68567.09218929497,5.065259891097667
2115,"Sunset District (North) PUMA, CA",64338.280331727605,Diagnostic medical sonographers,572399.8192090396,73862.48732493505,4.865734330214514
1720,"Plainfield City & Westfield Town (South) PUMA, NJ",64316.83828416945,Computer & information systems managers,273890.0996309963,102527.2721576413,4.7752181125972655
1803,"Reston (North) & Franklin Farm PUMA, VA",64316.047962649754,Interior designers,351327.5642857143,36057.52256948615,5.139048500286252
1242,"Linton Hall & Gainesville PUMA, VA",64216.68770064227,Physician assistants,506548.5106382979,92251.10058815022,4.949264113377568
1818,"Ringwood, Wanaque & Pompton Lakes Boroughs PUMA, NJ",64172.75145291626,"Claims adjusters, appraisers, examiners, & investigators",645342.8275862068,50551.26477380682,4.7724874637218955
270,"Burlington County (West Central) PUMA, NJ",64101.00650811214,Other financial specialists,645342.8108108108,98080.72862112064,5.232929170950632
1722,"Plano City (West) PUMA, TX",63996.848964449855,Physicians,349675.82016348775,206831.79290917717,4.887366599510611
767,"Fulton County (Central)Atlanta City (North) PUMA, GA",63901.25080324203,"Heating, air conditioning, & refrigeration mechanics & installers",477168.701754386,38378.79207938513,4.793027303095413
1795,"Red Bank & Tinton Falls (North) Boroughs PUMA, NJ",63889.83823517691,Podiatrists,645342.7899159663,112776.64908379482,4.849625802407495
218,"Brazoria County (North)Pearland City PUMA, TX",63853.50802768334,"Petroleum, mining & geological engineers, including mining safety engineers",474129.4205607477,121965.87102455912,4.560051933267612
826,"Grapevine, Southlake & Colleyville Cities PUMA, TX",63826.716478282004,Producers & directors,474129.4117647059,65061.10863708074,4.8109895577346
1469,"Near North Side, Loop & Near South Side PUMA, IL",63772.01927534086,Aircraft pilots & flight engineers,293798.13333333336,115613.87787785068,4.843358959275956
982,"Hunterdon County PUMA, NJ",63691.76254745042,Surgeons,645342.8205128205,282720.32402206364,5.028768501394133
2093,"Sterling & Ashburn (Northeast/Ashburn Village) PUMA, VA",63655.93028204492,"Securities, commodities, & financial services sales agents",506548.5090909091,116457.02855852002,4.96505761456845
1766,"Putnam County PUMA, NY",63336.199111356094,Industrial production managers,434850.7708333333,77305.98243070339,4.993089790201895
1891,"San Diego City (Northwest/Del Mar Mesa) PUMA, CA",63223.73343892922,"Doortodoor sales workers, news & street vendors, & related workers",572399.8260869565,12001.064758249571,4.782872707156929
988,"Huntington Town (South) PUMA, NY",63162.05468264936,Training & development specialists,668644.0,51927.48752447238,4.849609228504022
642,"Edina, St. Louis Park & Hopkins Cities PUMA, MN",63107.622362832335,Industrial production managers,493378.24,77305.98243070339,4.7263783176842775
883,"Haddonfield Borough PUMA, NJ",63016.06578562491,Surgeons,645342.7894736842,282720.32402206364,4.965256866249886
756,"Fremont City (East) PUMA, CA",62975.04779980712,Industrial production managers,315073.16049382713,77305.98243070339,5.117557121319881
537,"DeKalb County (North)Dunwoody City PUMA, GA",62958.01460264433,Other financial clerks,477168.6808510638,76459.69278730197,5.094759062148755
193,"Blue Valley Region PUMA, KS",62939.904637437525,Surgeons,444749.60544217686,282720.32402206364,4.929183093172215
2116,"Sunset District (South) PUMA, CA",62755.853869457475,"Business operations specialists, all other",572399.8072289156,60104.46884870296,4.823972895210578
630,"East of TX-6 & West of Beltway TX-8 PUMA, TX (79500US4804636)",62685.96010750929,Surgeons,474129.4193548387,282720.32402206364,4.678384611976882
1778,"Raleigh City (Northwest) & Morrisville Town PUMA, NC",62553.88733440303,Financial analysts,418409.06666666665,99633.71762472302,4.906711107477593
108,"Baltimore County (Outer) PUMA, MD",62529.666724787305,Nuclear medicine technologists and medical dosimetrists,508574.7,132946.1370184876,4.989310875986946
1395,"Minneapolis City (Southwest) PUMA, MN",62468.734023633355,Surgeons,493378.25,282720.32402206364,4.657479358501121
169,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804613)",62447.50159404625,Surgeons,474129.39130434784,282720.32402206364,4.779642210210396
1372,"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA, MA",62441.28614092809,Firstline supervisors of food preparation & serving workers,628120.1073825504,23221.954729882906,4.926800365708815
1493,"Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA, CA",62431.76923520165,Podiatrists,572399.8309859155,112776.64908379482,5.0232535046046145
54,"Apex & Holly Springs Towns PUMA, NC",62422.96088010775,Surgeons,418409.0526315789,282720.32402206364,4.981137092029352
1895,"San Gabriel Valley Region (North) PUMA, CA",62403.03049697005,Insurance sales agents,572399.8148148148,53854.68649385349,4.7582876502231946
1654,"Pasadena City PUMA, CA",62385.2330258602,Surgeons,572399.8245614035,282720.32402206364,4.9097969614657515
523,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA, CT",62158.580882726405,Other financial specialists,727403.6363636364,98080.72862112064,5.025327405683298
1100,"Keansburg Borough PUMA, NJ",62142.64967937873,Chief executives & legislators,451545.25440806046,141283.83645852594,4.966115397266624
2054,"St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA, IL",62127.06227842095,Couriers & messengers,550111.6712328767,25455.23543415416,4.870965168931557
1798,"Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA, WA",62104.8366323646,Diagnostic medical sonographers,314520.5882352941,73862.48732493505,5.022910004576039
1663,"Peabody City, Danvers, Reading, North Reading & Lynnfield Towns PUMA, MA",62103.86554161165,Education administrators,628120.1355932204,61611.01116745079,4.910548816080739
1035,"Islip Town (South) PUMA, NY",62097.24502966411,Insurance claims & policy processing clerks,668644.0,35227.90167829536,4.793893866792603
1883,"San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA, CA",62071.787253597446,"Television, video, & motion picture camera operators & editors",572399.8202247191,38307.65295374869,4.776241497829611
1885,"San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA, CA",62070.78369186378,Surgeons,572399.8148148148,282720.32402206364,4.947094516599463
2245,"Warren, Libertyville (North & East) & Shields Townships PUMA, IL",62059.485833517574,Information security analysts,550111.7037037037,99255.28312032484,4.945688952719753
920,"Hempstead Town (Northwest) PUMA, NY",61789.22258505123,Broadcast announcers and radio disc jockeys,668644.0,47494.13361466179,4.9425723190794075
1074,"Jersey City (North) PUMA, NJ",61754.83029264661,Chemists & materials scientists,645342.8468468469,71654.08234075189,5.044567886647932
342,"Central Harlem PUMA, NY",61742.04179645152,Physician assistants,668644.0,92251.10058815022,4.624911036020423
2217,"Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA, IL",61707.89587489432,Broadcast announcers and radio disc jockeys,550111.7,47494.13361466179,4.923202179332066
1956,"Severna Park, Arnold & Lake Shore PUMA, MD",61691.425815931114,Environmental engineers,508574.6666666667,71953.92582655714,4.983887882891345
2102,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA, CT",61688.292657153776,Producers & directors,727403.6111111111,65061.10863708074,5.140883512088714
729,"Forest Hills & Rego Park PUMA, NY",61558.32619320841,Landscaping and groundskeeping workers,668643.9768786128,15733.041414996618,4.984269117551356
352,"Centreville (Southeast) & Lorton PUMA, VA",61542.52921035494,Veterinarians,506548.4923076923,84868.11662911795,4.791308052479006
2045,"Springfield (South), West Springfield & Franconia PUMA, VA",61445.31808328012,Physicians,241813.80398671096,206831.79290917717,5.113456818078114
772,"Fulton County (Northwest)Roswell City PUMA, GA",61439.146991351394,Insurance sales agents,356112.8090909091,53854.68649385349,4.808750103543593
1770,"Queen Anne & Magnolia PUMA, WA",61395.38379230838,Other financial clerks,527823.5717761557,76459.69278730197,4.932328388864632
592,"Dover Town & Kinnelon Borough PUMA, NJ",61375.40625733987,Personal financial advisors,377441.6108108108,110943.36940078795,5.013347869025283
22,"Alexandria City PUMA, VA",61358.37135350757,Sales managers,288858.2396694215,106611.873312147,5.207332510966813
1129,"LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, CA",61325.03845897477,Surgeons,572399.8125,282720.32402206364,5.072056296409965
156,"Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA, NJ",61220.543486936964,Cardiovascular technologists and technicians,645342.8210526316,76805.666221549,5.025155441862546
921,"Hempstead Town (Southeast) PUMA, NY",61064.297934589726,Other Sales Workers,323596.8872180451,46439.11797243441,4.903955973812942
922,"Hempstead Town (Southwest) & Long Beach City PUMA, NY",61048.924943796155,Industrial production managers,430544.096069869,77305.98243070339,4.811531418387735
1634,"Oyster Bay Town (Central) PUMA, NY",61041.54638884893,Insurance underwriters,668643.9689922481,65638.00450135449,4.826377170217674
748,"Franklin & Brentwood Cities PUMA, TN",61029.037356200686,Radiologic technologists and technicians,445762.69696969696,56736.64149052558,5.049091157998076
2204,"Union City & Hoboken Cities PUMA, NJ",61015.11082156083,Advertising sales agents,293598.055,59021.9754631948,5.063035673569542
324,"Carver & Scott (West) Counties PUMA, MN",60949.23399246878,"Securities, commodities, & financial services sales agents",493378.2545454545,116457.02855852002,4.926477863230872
1496,"Newton City & Brookline Town PUMA, MA",60805.95912068409,Credit counselors & loan officers,628120.1111111111,67871.33144378143,4.920127672258941
1273,"Loveland, Montgomery Cities & Forestville PUMA, OH",60757.48347976573,Physician assistants,437657.91549295775,92251.10058815022,4.775007471121479
2072,"St. Louis County (Central) PUMA, MO",60647.34334044487,Surgeons,421448.3387096774,282720.32402206364,4.742116277851326
179,"Billerica, Andover, Tewksbury & Wilmington Towns PUMA, MA",60637.15403227187,Dentists,347557.62211981567,127707.80053807772,5.055570759732422
701,"Far Rockaway, Breezy Point & Broad Channel PUMA, NY",60611.70957755694,Market research analysts & marketing specialists,668644.0,67737.87609580542,4.632829226546281
1235,"Lincoln Park Borough PUMA, NJ",60520.7372676656,Pharmacists,393450.0606060606,88632.34688145593,4.847263066972271
182,"Birmingham & Bloomfield Area PUMA, MI",60456.775230010615,Compliance officers,432592.4166666667,68567.09218929497,4.920640087178532
2155,"Thousand Oaks City PUMA, CA",60453.957518279836,Aircraft pilots & flight engineers,486286.5754716981,115613.87787785068,5.011874751378867
1254,"Logan Square, Avondale & Hermosa PUMA, IL",60438.87857153586,Stationary engineers & boiler operators,550111.6981132076,52943.046979418286,5.08804284275656
837,"Greater Franklin Town City PUMA, MA",60329.95017108653,Physician assistants,628120.1032258065,92251.10058815022,4.9503056775388705
1667,"Peninsula Region & Tacoma City (West) PUMA, WA",60280.851694031866,Dentists,527823.5851851852,127707.80053807772,5.025821767817701
593,"Downers Grove Township PUMA, IL",60237.865338563395,Physicians,378397.656457215,206831.79290917717,5.07819441785082
563,"Denver City (South Central) PUMA, CO",60209.00822838911,Aircraft pilots & flight engineers,504522.3376623376,115613.87787785068,4.897113276843437
1209,"League City & Friendswood City PUMA, TX",60136.02336418373,Other Sales Workers,474129.3920972644,46439.11797243441,4.926722646046121
576,"District of Columbia (Central) PUMA, DC",60127.05867893682,Advertising sales agents,260105.29460580912,59021.9754631948,5.044122474889724
1940,"Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA, AZ",60090.307006433424,Training & development specialists,417395.9726027397,51927.48752447238,4.76330121435743
1947,"Seattle City (Northwest) PUMA, WA",60036.23029229898,Procurement clerks,527823.5609756098,54550.11160513914,5.140452291059318
917,"Hempstead Town (East Central) PUMA, NY",60032.09927355594,Firstline supervisors of nonretail sales workers,242270.93481989708,70776.29211066732,4.861447230109452
100,"Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA, MA",59949.650482646925,Human resources managers,317153.99019607843,72391.03540336741,5.104039691816747
2356,"Woodlawn, Rose Hill & Mount Vernon PUMA, VA",59946.57802355294,Firstline supervisors of production & operating workers,506548.5084745763,52761.15422880404,5.0393006626252195
50,"Annapolis City, Parole, Annapolis Neck & Edgewater PUMA, MD",59882.24192755704,Other financial specialists,508574.6909090909,98080.72862112064,5.082259463135635
392,"Chinatown & Lower East Side PUMA, NY",59833.938568341524,Computer network architects,668644.0325203252,95432.99220300168,4.688101131375229
92,"Austin City (Southwest), Lost Creek & Barton Creek PUMA, TX",59818.460197535016,Astronomers & physicists,474129.40880503145,84055.70255182173,4.876481533533291
198,"Boca Raton City & Highland Beach Town PUMA, FL",59761.31398948775,Travel agents,482234.2048192771,29475.76372948768,4.575441024904584
266,"Burke PUMA, VA",59756.7957338026,Other healthcare practitioners & technical Occupations,506548.5070422535,50832.997136739934,5.058869047863592
736,"Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA, NJ",59691.16848746828,Personal financial advisors,645342.8387096775,110943.36940078795,4.914669189669122
168,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804612)",59649.40927609472,Tax preparers,474129.40625,29580.191946286617,4.761023449461232
1477,"New City & Congers PUMA, NY",59629.793895058116,Biological scientists,668644.0258064516,59556.86879827084,4.839047032467457
1519,"North of FM-1960, West of I-45 & East of TX-249 PUMA, TX",59618.76658281739,"Shipping, receiving, & traffic clerks",474129.417721519,25653.37673230873,4.776717763492806
2292,"West Hollywood & Beverly Hills Cities PUMA, CA",59601.186041085166,Personal financial advisors,336960.2833333333,110943.36940078795,4.719523796189853
1117,"King of Prussia & Ardmore (East) PUMA, PA",59555.56939266856,"Industrial engineers, including health & safety",492365.15555555554,72963.74519021867,4.8675415087150755
1902,"San Jose City (Northwest) PUMA, CA",59395.80669802388,Athletes and sports competitors,572399.8206278026,46411.686201251,5.029610551369818
1555,"Novato & San Rafael (North) Cities PUMA, CA",59300.25991711757,Network and computer systems administrators,317099.3623188406,70080.64245976007,4.846541862035278
